등급,가격,개봉여부,미세손상,외관손상,내부LCD손상,화면잔상,기능불량,기종,용량
A,85000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A9 (2018),128GB
D,227000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 13 미니,128GB
C,71000.0,개봉,없음,전면,없음,없음,없음,갤럭시 S10E,128GB
D,389000.0,개봉,없음,"전면, 후면, 테두리",없음,없음,배터리성능저하,아이폰 12 프로 맥스,128GB
E,123000.0,개봉,"전면, 테두리","전면, 테두리",LCD 파손,없음,검수중,갤럭시S21 울트라,256GB
A,135000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A90,128GB
B,679000.0,개봉,테두리,없음,없음,없음,없음,아이폰 13 프로맥스,256GB
C,192000.0,개봉,전면,후면,없음,없음,없음,갤럭시 노트 10 플러스,512GB
E,20000.0,개봉,테두리,"전면, 테두리",LCD 파손,터치,검수중,갤럭시 노트 10,256GB
D,145000.0,개봉,없음,전면,없음,없음,없음,아이폰 XR,128GB
D,65000.0,개봉,전면,전면,없음,없음,생체인식,아이폰 SE3 (2022),128GB
A,317000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로,256GB
C,71000.0,개봉,테두리,전면,없음,없음,없음,갤럭시 S10E,128GB
C,88000.0,개봉,없음,테두리,없음,없음,없음,아이폰 8,256GB
F,20000.0,개봉,없음,없음,없음,없음,"생체인식, 전원, 충전, 배터리성능저하",아이폰 11 프로,256GB
E,1000.0,개봉,없음,없음,LCD 파손,없음,검수중,아이패드 에어 4세대 Wifi,64GB
D,349000.0,개봉,"전면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12 프로,256GB
D,252000.0,개봉,"전면, 후면, 테두리",후면,없음,없음,없음,아이폰 11 프로 맥스,64GB
D,182000.0,개봉,테두리,없음,없음,없음,배터리성능저하,아이폰 12 미니,128GB
D,267000.0,개봉,없음,없음,없음,없음,배터리성능저하,아이폰 13 미니,128GB
A,344000.0,개봉,없음,없음,없음,없음,없음,아이폰 12,128GB
C,83000.0,개봉,없음,테두리,없음,없음,없음,갤럭시 노트 8,256GB
A,557000.0,개봉,없음,없음,없음,없음,없음,아이폰 12 프로 맥스,256GB
D,182000.0,개봉,"전면, 후면, 테두리",없음,없음,없음,배터리성능저하,아이폰 12 미니,128GB
A,118000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A23,128GB
D,257000.0,개봉,없음,후면,없음,없음,배터리성능저하,아이폰 11 프로,256GB
C,415000.0,개봉,없음,후면,없음,없음,없음,아이폰 13 프로,128GB
D,225000.0,개봉,"전면, 후면, 테두리","전면, 후면, 테두리",없음,없음,없음,아이폰 11 프로,256GB
D,182000.0,개봉,"전면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 12 미니,128GB
C,412000.0,개봉,없음,테두리,없음,없음,없음,아이폰 14,128GB
D,192000.0,개봉,테두리,테두리,없음,없음,배터리성능저하,아이폰 12,64GB
D,312000.0,개봉,"전면, 테두리",테두리,없음,없음,배터리성능저하,아이폰 12 프로,128GB
A,452000.0,개봉,없음,없음,없음,없음,없음,아이폰 11 프로 맥스,512GB
B,165000.0,개봉,테두리,없음,없음,없음,없음,아이폰 X,64GB
B,324000.0,개봉,테두리,없음,없음,없음,없음,갤럭시 S22,256GB
D,25000.0,개봉,테두리,"전면, 후면",없음,없음,생체인식,아이폰 8,64GB
A,634000.0,개봉,없음,없음,없음,없음,없음,갤럭시 S22 울트라,256GB
D,152000.0,개봉,테두리,테두리,없음,없음,없음,아이폰 11,128GB
B,317000.0,개봉,테두리,없음,없음,없음,없음,아이폰 11 프로,256GB
B,510000.0,개봉,테두리,없음,없음,없음,없음,아이폰 13,256GB
C,142000.0,개봉,없음,테두리,없음,없음,없음,아이폰 SE3 (2022),128GB
E,40000.0,개봉,"전면, 후면","전면, 후면",없음,없음,"카메라, 생체인식, 배터리성능저하",아이폰 X,64GB
A,45000.0,개봉,없음,없음,없음,없음,없음,갤럭시 A10,32GB
E,110000.0,개봉,"전면, 테두리","전면, 후면, 테두리",LCD 파손,배터리성능저하,검수중,아이폰 11,64GB
E,25000.0,개봉,테두리,"전면, 테두리",LCD 파손,없음,검수중,갤럭시 S10,128GB
